n/k,p,urea,MoP,tsP,Crop_Aus(BRI 27),Crop_Aus(BRI 42),Crop_B. Aman,Crop_Boro Rice(BRI 28),Crop_Boro Rice(BRI 29),Crop_Boro Rice(BRI 36),Crop_T. Aman(BRRI 25),Crop_T. Aman(BRRI 51),Crop_T. Aman(Binadhan 9)
0.0,0.0,2109,1231.0,648.0,0,0,0,0,1,0,0,0,0
0.027777777777777776,0.027777777777777776,2050,1190.0,621.0,0,0,0,0,1,0,0,0,0
0.05555555555555555,0.05555555555555555,1991,1149.0,594.0,0,0,0,0,1,0,0,0,0
0.08333333333333333,0.08333333333333333,1933,1108.0,567.0,0,0,0,0,1,0,0,0,0
0.1111111111111111,0.1111111111111111,1874,1067.0,540.0,0,0,0,0,1,0,0,0,0
0.1388888888888889,0.1388888888888889,1816,1026.0,513.0,0,0,0,0,1,0,0,0,0
0.16666666666666666,0.16666666666666666,1757,985.0,486.0,0,0,0,0,1,0,0,0,0
0.19444444444444445,0.19444444444444442,1699,944.0,459.0,0,0,0,0,1,0,0,0,0
0.2222222222222222,0.2222222222222222,1640,903.0,432.0,0,0,0,0,1,0,0,0,0
0.24999999999999997,0.25,1581,862.0,405.0,0,0,0,0,1,0,0,0,0
0.2777777777777778,0.2777777777777778,1523,821.0,378.0,0,0,0,0,1,0,0,0,0
0.3055555555555555,0.3055555555555555,1464,780.0,351.0,0,0,0,0,1,0,0,0,0
0.3333333333333333,0.3333333333333333,1406,739.0,324.0,0,0,0,0,1,0,0,0,0
0.3611111111111111,0.3611111111111111,1347,698.0,297.0,0,0,0,0,1,0,0,0,0
0.3888888888888889,0.38888888888888884,1289,656.0,270.0,0,0,0,0,1,0,0,0,0
0.41666666666666663,0.41666666666666663,1230,615.0,243.0,0,0,0,0,1,0,0,0,0
0.4444444444444444,0.4444444444444444,1171,574.0,216.0,0,0,0,0,1,0,0,0,0
0.47222222222222227,0.4722222222222222,1113,533.0,189.0,0,0,0,0,1,0,0,0,0
0.49999999999999994,0.5,1054,492.0,162.0,0,0,0,0,1,0,0,0,0
0.5277777777777778,0.5277777777777778,996,451.0,135.0,0,0,0,0,1,0,0,0,0
0.5555555555555556,0.5555555555555556,937,410.0,108.0,0,0,0,0,1,0,0,0,0
0.5833333333333333,0.5833333333333333,879,369.0,81.0,0,0,0,0,1,0,0,0,0
0.611111111111111,0.611111111111111,820,328.0,54.0,0,0,0,0,1,0,0,0,0
0.6388888888888888,0.6388888888888888,762,287.0,27.0,0,0,0,0,1,0,0,0,0
0.6666666666666666,0.6666666666666666,703,246.0,0.0,0,0,0,0,1,0,0,0,0
0.6944444444444444,0.6944444444444444,644,205.0,0.0,0,0,0,0,1,0,0,0,0
0.7222222222222222,0.7222222222222222,586,164.0,0.0,0,0,0,0,1,0,0,0,0
0.75,0.75,527,123.0,0.0,0,0,0,0,1,0,0,0,0
0.7777777777777778,0.7777777777777777,469,82.0,0.0,0,0,0,0,1,0,0,0,0
0.8055555555555555,0.8055555555555555,410,41.0,0.0,0,0,0,0,1,0,0,0,0
0.8333333333333333,0.8333333333333333,352,0.0,0.0,0,0,0,0,1,0,0,0,0
0.861111111111111,0.861111111111111,293,0.0,0.0,0,0,0,0,1,0,0,0,0
0.8888888888888888,0.8888888888888888,234,0.0,0.0,0,0,0,0,1,0,0,0,0
0.9166666666666666,0.9166666666666666,176,0.0,0.0,0,0,0,0,1,0,0,0,0
0.9444444444444445,0.9444444444444444,117,0.0,0.0,0,0,0,0,1,0,0,0,0
0.9722222222222221,0.9722222222222222,59,0.0,0.0,0,0,0,0,1,0,0,0,0
0.9999999999999999,1.0,0,0.0,0.0,0,0,0,0,1,0,0,0,0
0.0,0.0,1687,972.0,567.0,0,0,0,1,0,0,0,0,0
0.027777777777777776,0.027777777777777776,1640,939.0,543.0,0,0,0,1,0,0,0,0,0
0.05555555555555555,0.05555555555555555,1593,907.0,520.0,0,0,0,1,0,0,0,0,0
0.08333333333333333,0.08333333333333333,1546,874.0,496.0,0,0,0,1,0,0,0,0,0
0.1111111111111111,0.1111111111111111,1499,842.0,472.0,0,0,0,1,0,0,0,0,0
0.1388888888888889,0.1388888888888889,1453,810.0,449.0,0,0,0,1,0,0,0,0,0
0.16666666666666666,0.16666666666666666,1406,777.0,425.0,0,0,0,1,0,0,0,0,0
0.19444444444444445,0.19444444444444442,1359,745.0,402.0,0,0,0,1,0,0,0,0,0
0.2222222222222222,0.2222222222222222,1312,713.0,378.0,0,0,0,1,0,0,0,0,0
0.24999999999999997,0.25,1265,680.0,354.0,0,0,0,1,0,0,0,0,0
0.2777777777777778,0.2777777777777778,1218,648.0,331.0,0,0,0,1,0,0,0,0,0
0.3055555555555555,0.3055555555555555,1171,615.0,307.0,0,0,0,1,0,0,0,0,0
0.3333333333333333,0.3333333333333333,1125,583.0,284.0,0,0,0,1,0,0,0,0,0
0.3611111111111111,0.3611111111111111,1078,551.0,260.0,0,0,0,1,0,0,0,0,0
0.3888888888888889,0.38888888888888884,1031,518.0,236.0,0,0,0,1,0,0,0,0,0
0.41666666666666663,0.41666666666666663,984,486.0,213.0,0,0,0,1,0,0,0,0,0
0.4444444444444444,0.4444444444444444,937,453.0,189.0,0,0,0,1,0,0,0,0,0
0.47222222222222227,0.4722222222222222,890,421.0,166.0,0,0,0,1,0,0,0,0,0
0.49999999999999994,0.5,843,389.0,142.0,0,0,0,1,0,0,0,0,0
0.5277777777777778,0.5277777777777778,797,356.0,118.0,0,0,0,1,0,0,0,0,0
0.5555555555555556,0.5555555555555556,750,324.0,95.0,0,0,0,1,0,0,0,0,0
0.5833333333333333,0.5833333333333333,703,291.0,71.0,0,0,0,1,0,0,0,0,0
0.611111111111111,0.611111111111111,656,259.0,48.0,0,0,0,1,0,0,0,0,0
0.6388888888888888,0.6388888888888888,609,227.0,24.0,0,0,0,1,0,0,0,0,0
0.6666666666666666,0.6666666666666666,562,194.0,0.0,0,0,0,1,0,0,0,0,0
0.6944444444444444,0.6944444444444444,515,162.0,0.0,0,0,0,1,0,0,0,0,0
0.7222222222222222,0.7222222222222222,469,130.0,0.0,0,0,0,1,0,0,0,0,0
0.75,0.75,422,97.0,0.0,0,0,0,1,0,0,0,0,0
0.7777777777777778,0.7777777777777777,375,65.0,0.0,0,0,0,1,0,0,0,0,0
0.8055555555555555,0.8055555555555555,328,32.0,0.0,0,0,0,1,0,0,0,0,0
0.8333333333333333,0.8333333333333333,281,0.0,0.0,0,0,0,1,0,0,0,0,0
0.861111111111111,0.861111111111111,234,0.0,0.0,0,0,0,1,0,0,0,0,0
0.8888888888888888,0.8888888888888888,188,0.0,0.0,0,0,0,1,0,0,0,0,0
0.9166666666666666,0.9166666666666666,141,0.0,0.0,0,0,0,1,0,0,0,0,0
0.9444444444444445,0.9444444444444444,94,0.0,0.0,0,0,0,1,0,0,0,0,0
0.9722222222222221,0.9722222222222222,47,0.0,0.0,0,0,0,1,0,0,0,0,0
0.9999999999999999,1.0,0,0.0,0.0,0,0,0,1,0,0,0,0,0
0.0,0.0,1406,810.0,486.0,0,0,0,0,0,1,0,0,0
0.027777777777777776,0.027777777777777776,1367,783.0,466.0,0,0,0,0,0,1,0,0,0
0.05555555555555555,0.05555555555555555,1328,756.0,445.0,0,0,0,0,0,1,0,0,0
0.08333333333333333,0.08333333333333333,1289,729.0,425.0,0,0,0,0,0,1,0,0,0
0.1111111111111111,0.1111111111111111,1249,702.0,405.0,0,0,0,0,0,1,0,0,0
0.1388888888888889,0.1388888888888889,1210,675.0,385.0,0,0,0,0,0,1,0,0,0
0.16666666666666666,0.16666666666666666,1171,648.0,364.0,0,0,0,0,0,1,0,0,0
0.19444444444444445,0.19444444444444442,1132,621.0,344.0,0,0,0,0,0,1,0,0,0
0.2222222222222222,0.2222222222222222,1093,594.0,324.0,0,0,0,0,0,1,0,0,0
0.24999999999999997,0.25,1054,567.0,304.0,0,0,0,0,0,1,0,0,0
0.2777777777777778,0.2777777777777778,1015,540.0,283.0,0,0,0,0,0,1,0,0,0
0.3055555555555555,0.3055555555555555,976,513.0,263.0,0,0,0,0,0,1,0,0,0
0.3333333333333333,0.3333333333333333,937,486.0,243.0,0,0,0,0,0,1,0,0,0
0.3611111111111111,0.3611111111111111,898,459.0,223.0,0,0,0,0,0,1,0,0,0
0.3888888888888889,0.38888888888888884,859,432.0,202.0,0,0,0,0,0,1,0,0,0
0.41666666666666663,0.41666666666666663,820,405.0,182.0,0,0,0,0,0,1,0,0,0
0.4444444444444444,0.4444444444444444,781,378.0,162.0,0,0,0,0,0,1,0,0,0
0.47222222222222227,0.4722222222222222,742,351.0,142.0,0,0,0,0,0,1,0,0,0
0.49999999999999994,0.5,703,324.0,121.0,0,0,0,0,0,1,0,0,0
0.5277777777777778,0.5277777777777778,664,297.0,101.0,0,0,0,0,0,1,0,0,0
0.5555555555555556,0.5555555555555556,625,270.0,81.0,0,0,0,0,0,1,0,0,0
0.5833333333333333,0.5833333333333333,586,243.0,61.0,0,0,0,0,0,1,0,0,0
0.611111111111111,0.611111111111111,547,216.0,40.0,0,0,0,0,0,1,0,0,0
0.6388888888888888,0.6388888888888888,508,189.0,20.0,0,0,0,0,0,1,0,0,0
0.6666666666666666,0.6666666666666666,469,162.0,0.0,0,0,0,0,0,1,0,0,0
0.6944444444444444,0.6944444444444444,430,135.0,0.0,0,0,0,0,0,1,0,0,0
0.7222222222222222,0.7222222222222222,391,108.0,0.0,0,0,0,0,0,1,0,0,0
0.75,0.75,352,81.0,0.0,0,0,0,0,0,1,0,0,0
0.7777777777777778,0.7777777777777777,312,54.0,0.0,0,0,0,0,0,1,0,0,0
0.8055555555555555,0.8055555555555555,273,27.0,0.0,0,0,0,0,0,1,0,0,0
0.8333333333333333,0.8333333333333333,234,0.0,0.0,0,0,0,0,0,1,0,0,0
0.861111111111111,0.861111111111111,195,0.0,0.0,0,0,0,0,0,1,0,0,0
0.8888888888888888,0.8888888888888888,156,0.0,0.0,0,0,0,0,0,1,0,0,0
0.9166666666666666,0.9166666666666666,117,0.0,0.0,0,0,0,0,0,1,0,0,0
0.9444444444444445,0.9444444444444444,78,0.0,0.0,0,0,0,0,0,1,0,0,0
0.9722222222222221,0.9722222222222222,39,0.0,0.0,0,0,0,0,0,1,0,0,0
0.9999999999999999,1.0,0,0.0,0.0,0,0,0,0,0,1,0,0,0
0.0,0.0,773,486.0,324.0,1,0,0,0,0,0,0,0,0
0.027777777777777776,0.027777777777777776,752,470.0,310.0,1,0,0,0,0,0,0,0,0
0.05555555555555555,0.05555555555555555,730,453.0,297.0,1,0,0,0,0,0,0,0,0
0.08333333333333333,0.08333333333333333,709,437.0,283.0,1,0,0,0,0,0,0,0,0
0.1111111111111111,0.1111111111111111,687,421.0,270.0,1,0,0,0,0,0,0,0,0
0.1388888888888889,0.1388888888888889,666,405.0,256.0,1,0,0,0,0,0,0,0,0
0.16666666666666666,0.16666666666666666,644,389.0,243.0,1,0,0,0,0,0,0,0,0
0.19444444444444445,0.19444444444444442,623,372.0,230.0,1,0,0,0,0,0,0,0,0
0.2222222222222222,0.2222222222222222,601,356.0,216.0,1,0,0,0,0,0,0,0,0
0.24999999999999997,0.25,580,340.0,203.0,1,0,0,0,0,0,0,0,0
0.2777777777777778,0.2777777777777778,558,324.0,189.0,1,0,0,0,0,0,0,0,0
0.3055555555555555,0.3055555555555555,537,308.0,176.0,1,0,0,0,0,0,0,0,0
0.3333333333333333,0.3333333333333333,515,291.0,162.0,1,0,0,0,0,0,0,0,0
0.3611111111111111,0.3611111111111111,494,275.0,149.0,1,0,0,0,0,0,0,0,0
0.3888888888888889,0.38888888888888884,473,259.0,135.0,1,0,0,0,0,0,0,0,0
0.41666666666666663,0.41666666666666663,451,243.0,122.0,1,0,0,0,0,0,0,0,0
0.4444444444444444,0.4444444444444444,430,227.0,108.0,1,0,0,0,0,0,0,0,0
0.47222222222222227,0.4722222222222222,408,211.0,95.0,1,0,0,0,0,0,0,0,0
0.49999999999999994,0.5,387,194.0,81.0,1,0,0,0,0,0,0,0,0
0.5277777777777778,0.5277777777777778,365,178.0,68.0,1,0,0,0,0,0,0,0,0
0.5555555555555556,0.5555555555555556,344,162.0,54.0,1,0,0,0,0,0,0,0,0
0.5833333333333333,0.5833333333333333,322,146.0,41.0,1,0,0,0,0,0,0,0,0
0.611111111111111,0.611111111111111,301,130.0,27.0,1,0,0,0,0,0,0,0,0
0.6388888888888888,0.6388888888888888,279,113.0,14.0,1,0,0,0,0,0,0,0,0
0.6666666666666666,0.6666666666666666,258,97.0,0.0,1,0,0,0,0,0,0,0,0
0.6944444444444444,0.6944444444444444,236,81.0,0.0,1,0,0,0,0,0,0,0,0
0.7222222222222222,0.7222222222222222,215,65.0,0.0,1,0,0,0,0,0,0,0,0
0.75,0.75,193,49.0,0.0,1,0,0,0,0,0,0,0,0
0.7777777777777778,0.7777777777777777,172,32.0,0.0,1,0,0,0,0,0,0,0,0
0.8055555555555555,0.8055555555555555,150,16.0,0.0,1,0,0,0,0,0,0,0,0
0.8333333333333333,0.8333333333333333,129,0.0,0.0,1,0,0,0,0,0,0,0,0
0.861111111111111,0.861111111111111,107,0.0,0.0,1,0,0,0,0,0,0,0,0
0.8888888888888888,0.8888888888888888,86,0.0,0.0,1,0,0,0,0,0,0,0,0
0.9166666666666666,0.9166666666666666,65,0.0,0.0,1,0,0,0,0,0,0,0,0
0.9444444444444445,0.9444444444444444,43,0.0,0.0,1,0,0,0,0,0,0,0,0
0.9722222222222221,0.9722222222222222,22,0.0,0.0,1,0,0,0,0,0,0,0,0
0.9999999999999999,1.0,0,0.0,0.0,1,0,0,0,0,0,0,0,0
0.0,0.0,773,486.0,324.0,0,1,0,0,0,0,0,0,0
0.027777777777777776,0.027777777777777776,752,470.0,310.0,0,1,0,0,0,0,0,0,0
0.05555555555555555,0.05555555555555555,730,453.0,297.0,0,1,0,0,0,0,0,0,0
0.08333333333333333,0.08333333333333333,709,437.0,283.0,0,1,0,0,0,0,0,0,0
0.1111111111111111,0.1111111111111111,687,421.0,270.0,0,1,0,0,0,0,0,0,0
0.1388888888888889,0.1388888888888889,666,405.0,256.0,0,1,0,0,0,0,0,0,0
0.16666666666666666,0.16666666666666666,644,389.0,243.0,0,1,0,0,0,0,0,0,0
0.19444444444444445,0.19444444444444442,623,372.0,230.0,0,1,0,0,0,0,0,0,0
0.2222222222222222,0.2222222222222222,601,356.0,216.0,0,1,0,0,0,0,0,0,0
0.24999999999999997,0.25,580,340.0,203.0,0,1,0,0,0,0,0,0,0
0.2777777777777778,0.2777777777777778,558,324.0,189.0,0,1,0,0,0,0,0,0,0
0.3055555555555555,0.3055555555555555,537,308.0,176.0,0,1,0,0,0,0,0,0,0
0.3333333333333333,0.3333333333333333,515,291.0,162.0,0,1,0,0,0,0,0,0,0
0.3611111111111111,0.3611111111111111,494,275.0,149.0,0,1,0,0,0,0,0,0,0
0.3888888888888889,0.38888888888888884,473,259.0,135.0,0,1,0,0,0,0,0,0,0
