n/k,p,urea,MoP,tsP,Crop_Aus(BRI 27),Crop_Aus(BRI 42),Crop_B. Aman,Crop_Boro Rice(BRI 28),Crop_Boro Rice(BRI 29),Crop_Boro Rice(BRI 36),Crop_T. Aman(BRRI 25),Crop_T. Aman(BRRI 51),Crop_T. Aman(Binadhan 9)
0.41666666666666663,0.41666666666666663,451,243.0,122.0,0,1,0,0,0,0,0,0,0
0.4444444444444444,0.4444444444444444,430,227.0,108.0,0,1,0,0,0,0,0,0,0
0.47222222222222227,0.4722222222222222,408,211.0,95.0,0,1,0,0,0,0,0,0,0
0.49999999999999994,0.5,387,194.0,81.0,0,1,0,0,0,0,0,0,0
0.5277777777777778,0.5277777777777778,365,178.0,68.0,0,1,0,0,0,0,0,0,0
0.5555555555555556,0.5555555555555556,344,162.0,54.0,0,1,0,0,0,0,0,0,0
0.5833333333333333,0.5833333333333333,322,146.0,41.0,0,1,0,0,0,0,0,0,0
0.611111111111111,0.611111111111111,301,130.0,27.0,0,1,0,0,0,0,0,0,0
0.6388888888888888,0.6388888888888888,279,113.0,14.0,0,1,0,0,0,0,0,0,0
0.6666666666666666,0.6666666666666666,258,97.0,0.0,0,1,0,0,0,0,0,0,0
0.6944444444444444,0.6944444444444444,236,81.0,0.0,0,1,0,0,0,0,0,0,0
0.7222222222222222,0.7222222222222222,215,65.0,0.0,0,1,0,0,0,0,0,0,0
0.75,0.75,193,49.0,0.0,0,1,0,0,0,0,0,0,0
0.7777777777777778,0.7777777777777777,172,32.0,0.0,0,1,0,0,0,0,0,0,0
0.8055555555555555,0.8055555555555555,150,16.0,0.0,0,1,0,0,0,0,0,0,0
0.8333333333333333,0.8333333333333333,129,0.0,0.0,0,1,0,0,0,0,0,0,0
0.861111111111111,0.861111111111111,107,0.0,0.0,0,1,0,0,0,0,0,0,0
0.8888888888888888,0.8888888888888888,86,0.0,0.0,0,1,0,0,0,0,0,0,0
0.9166666666666666,0.9166666666666666,65,0.0,0.0,0,1,0,0,0,0,0,0,0
0.9444444444444445,0.9444444444444444,43,0.0,0.0,0,1,0,0,0,0,0,0,0
0.9722222222222221,0.9722222222222222,22,0.0,0.0,0,1,0,0,0,0,0,0,0
0.9999999999999999,1.0,0,0.0,0.0,0,1,0,0,0,0,0,0,0
0.0,0.0,422,324.0,243.0,0,0,1,0,0,0,0,0,0
0.027777777777777776,0.027777777777777776,410,313.0,233.0,0,0,1,0,0,0,0,0,0
0.05555555555555555,0.05555555555555555,398,302.0,223.0,0,0,1,0,0,0,0,0,0
0.08333333333333333,0.08333333333333333,387,292.0,213.0,0,0,1,0,0,0,0,0,0
0.1111111111111111,0.1111111111111111,375,281.0,202.0,0,0,1,0,0,0,0,0,0
0.1388888888888889,0.1388888888888889,363,270.0,192.0,0,0,1,0,0,0,0,0,0
0.16666666666666666,0.16666666666666666,351,259.0,182.0,0,0,1,0,0,0,0,0,0
0.19444444444444445,0.19444444444444442,340,248.0,172.0,0,0,1,0,0,0,0,0,0
0.2222222222222222,0.2222222222222222,328,238.0,162.0,0,0,1,0,0,0,0,0,0
0.24999999999999997,0.25,316,227.0,152.0,0,0,1,0,0,0,0,0,0
0.2777777777777778,0.2777777777777778,305,216.0,142.0,0,0,1,0,0,0,0,0,0
0.3055555555555555,0.3055555555555555,293,205.0,132.0,0,0,1,0,0,0,0,0,0
0.3333333333333333,0.3333333333333333,281,194.0,121.0,0,0,1,0,0,0,0,0,0
0.3611111111111111,0.3611111111111111,269,184.0,111.0,0,0,1,0,0,0,0,0,0
0.3888888888888889,0.38888888888888884,258,173.0,101.0,0,0,1,0,0,0,0,0,0
0.41666666666666663,0.41666666666666663,246,162.0,91.0,0,0,1,0,0,0,0,0,0
0.4444444444444444,0.4444444444444444,234,151.0,81.0,0,0,1,0,0,0,0,0,0
0.47222222222222227,0.4722222222222222,223,140.0,71.0,0,0,1,0,0,0,0,0,0
0.49999999999999994,0.5,211,130.0,61.0,0,0,1,0,0,0,0,0,0
0.5277777777777778,0.5277777777777778,199,119.0,51.0,0,0,1,0,0,0,0,0,0
0.5555555555555556,0.5555555555555556,187,108.0,40.0,0,0,1,0,0,0,0,0,0
0.5833333333333333,0.5833333333333333,176,97.0,30.0,0,0,1,0,0,0,0,0,0
0.611111111111111,0.611111111111111,164,86.0,20.0,0,0,1,0,0,0,0,0,0
0.6388888888888888,0.6388888888888888,152,76.0,10.0,0,0,1,0,0,0,0,0,0
0.6666666666666666,0.6666666666666666,141,65.0,0.0,0,0,1,0,0,0,0,0,0
0.6944444444444444,0.6944444444444444,129,54.0,0.0,0,0,1,0,0,0,0,0,0
0.7222222222222222,0.7222222222222222,117,43.0,0.0,0,0,1,0,0,0,0,0,0
0.75,0.75,106,32.0,0.0,0,0,1,0,0,0,0,0,0
0.7777777777777778,0.7777777777777777,94,22.0,0.0,0,0,1,0,0,0,0,0,0
0.8055555555555555,0.8055555555555555,82,11.0,0.0,0,0,1,0,0,0,0,0,0
0.8333333333333333,0.8333333333333333,70,0.0,0.0,0,0,1,0,0,0,0,0,0
0.861111111111111,0.861111111111111,59,0.0,0.0,0,0,1,0,0,0,0,0,0
0.8888888888888888,0.8888888888888888,47,0.0,0.0,0,0,1,0,0,0,0,0,0
0.9166666666666666,0.9166666666666666,35,0.0,0.0,0,0,1,0,0,0,0,0,0
0.9444444444444445,0.9444444444444444,24,0.0,0.0,0,0,1,0,0,0,0,0,0
0.9722222222222221,0.9722222222222222,12,0.0,0.0,0,0,1,0,0,0,0,0,0
0.9999999999999999,1.0,0,0.0,0.0,0,0,1,0,0,0,0,0,0
0.0,0.0,1054,810.0,405.0,0,0,0,0,0,0,0,1,0
0.027777777777777776,0.027777777777777776,1025,783.0,388.0,0,0,0,0,0,0,0,1,0
0.05555555555555555,0.05555555555555555,996,756.0,371.0,0,0,0,0,0,0,0,1,0
0.08333333333333333,0.08333333333333333,966,729.0,354.0,0,0,0,0,0,0,0,1,0
0.1111111111111111,0.1111111111111111,937,702.0,337.0,0,0,0,0,0,0,0,1,0
0.1388888888888889,0.1388888888888889,908,675.0,321.0,0,0,0,0,0,0,0,1,0
0.16666666666666666,0.16666666666666666,879,648.0,304.0,0,0,0,0,0,0,0,1,0
0.19444444444444445,0.19444444444444442,849,621.0,287.0,0,0,0,0,0,0,0,1,0
0.2222222222222222,0.2222222222222222,820,594.0,270.0,0,0,0,0,0,0,0,1,0
0.24999999999999997,0.25,791,567.0,253.0,0,0,0,0,0,0,0,1,0
0.2777777777777778,0.2777777777777778,761,540.0,236.0,0,0,0,0,0,0,0,1,0
0.3055555555555555,0.3055555555555555,732,513.0,219.0,0,0,0,0,0,0,0,1,0
0.3333333333333333,0.3333333333333333,703,486.0,203.0,0,0,0,0,0,0,0,1,0
0.3611111111111111,0.3611111111111111,674,459.0,186.0,0,0,0,0,0,0,0,1,0
0.3888888888888889,0.38888888888888884,644,432.0,169.0,0,0,0,0,0,0,0,1,0
0.41666666666666663,0.41666666666666663,615,405.0,152.0,0,0,0,0,0,0,0,1,0
0.4444444444444444,0.4444444444444444,586,378.0,135.0,0,0,0,0,0,0,0,1,0
0.47222222222222227,0.4722222222222222,556,351.0,118.0,0,0,0,0,0,0,0,1,0
0.49999999999999994,0.5,527,324.0,101.0,0,0,0,0,0,0,0,1,0
0.5277777777777778,0.5277777777777778,498,297.0,84.0,0,0,0,0,0,0,0,1,0
0.5555555555555556,0.5555555555555556,469,270.0,68.0,0,0,0,0,0,0,0,1,0
0.5833333333333333,0.5833333333333333,439,243.0,51.0,0,0,0,0,0,0,0,1,0
0.611111111111111,0.611111111111111,410,216.0,34.0,0,0,0,0,0,0,0,1,0
0.6388888888888888,0.6388888888888888,381,189.0,17.0,0,0,0,0,0,0,0,1,0
0.6666666666666666,0.6666666666666666,351,162.0,0.0,0,0,0,0,0,0,0,1,0
0.6944444444444444,0.6944444444444444,322,135.0,0.0,0,0,0,0,0,0,0,1,0
0.7222222222222222,0.7222222222222222,293,108.0,0.0,0,0,0,0,0,0,0,1,0
0.75,0.75,264,81.0,0.0,0,0,0,0,0,0,0,1,0
0.7777777777777778,0.7777777777777777,234,54.0,0.0,0,0,0,0,0,0,0,1,0
0.8055555555555555,0.8055555555555555,205,27.0,0.0,0,0,0,0,0,0,0,1,0
0.8333333333333333,0.8333333333333333,176,0.0,0.0,0,0,0,0,0,0,0,1,0
0.861111111111111,0.861111111111111,147,0.0,0.0,0,0,0,0,0,0,0,1,0
0.8888888888888888,0.8888888888888888,117,0.0,0.0,0,0,0,0,0,0,0,1,0
0.9166666666666666,0.9166666666666666,88,0.0,0.0,0,0,0,0,0,0,0,1,0
0.9444444444444445,0.9444444444444444,59,0.0,0.0,0,0,0,0,0,0,0,1,0
0.9722222222222221,0.9722222222222222,29,0.0,0.0,0,0,0,0,0,0,0,1,0
0.9999999999999999,1.0,0,0.0,0.0,0,0,0,0,0,0,0,1,0
0.0,0.0,843,648.0,324.0,0,0,0,0,0,0,1,0,0
0.027777777777777776,0.027777777777777776,820,626.0,310.0,0,0,0,0,0,0,1,0,0
0.05555555555555555,0.05555555555555555,797,605.0,297.0,0,0,0,0,0,0,1,0,0
0.08333333333333333,0.08333333333333333,773,583.0,283.0,0,0,0,0,0,0,1,0,0
0.1111111111111111,0.1111111111111111,750,561.0,270.0,0,0,0,0,0,0,1,0,0
0.1388888888888889,0.1388888888888889,726,540.0,256.0,0,0,0,0,0,0,1,0,0
0.16666666666666666,0.16666666666666666,703,518.0,243.0,0,0,0,0,0,0,1,0,0
0.19444444444444445,0.19444444444444442,679,497.0,230.0,0,0,0,0,0,0,1,0,0
0.2222222222222222,0.2222222222222222,656,475.0,216.0,0,0,0,0,0,0,1,0,0
0.24999999999999997,0.25,633,453.0,203.0,0,0,0,0,0,0,1,0,0
0.2777777777777778,0.2777777777777778,609,432.0,189.0,0,0,0,0,0,0,1,0,0
0.3055555555555555,0.3055555555555555,586,410.0,176.0,0,0,0,0,0,0,1,0,0
0.3333333333333333,0.3333333333333333,562,389.0,162.0,0,0,0,0,0,0,1,0,0
0.3611111111111111,0.3611111111111111,539,367.0,149.0,0,0,0,0,0,0,1,0,0
0.3888888888888889,0.38888888888888884,515,346.0,135.0,0,0,0,0,0,0,1,0,0
0.41666666666666663,0.41666666666666663,492,324.0,122.0,0,0,0,0,0,0,1,0,0
0.4444444444444444,0.4444444444444444,469,302.0,108.0,0,0,0,0,0,0,1,0,0
0.47222222222222227,0.4722222222222222,445,281.0,95.0,0,0,0,0,0,0,1,0,0
0.49999999999999994,0.5,422,259.0,81.0,0,0,0,0,0,0,1,0,0
0.5277777777777778,0.5277777777777778,398,238.0,68.0,0,0,0,0,0,0,1,0,0
0.5555555555555556,0.5555555555555556,375,216.0,54.0,0,0,0,0,0,0,1,0,0
0.5833333333333333,0.5833333333333333,352,194.0,41.0,0,0,0,0,0,0,1,0,0
0.611111111111111,0.611111111111111,328,173.0,27.0,0,0,0,0,0,0,1,0,0
0.6388888888888888,0.6388888888888888,305,151.0,14.0,0,0,0,0,0,0,1,0,0
0.6666666666666666,0.6666666666666666,281,130.0,0.0,0,0,0,0,0,0,1,0,0
0.6944444444444444,0.6944444444444444,258,108.0,0.0,0,0,0,0,0,0,1,0,0
0.7222222222222222,0.7222222222222222,234,87.0,0.0,0,0,0,0,0,0,1,0,0
0.75,0.75,211,65.0,0.0,0,0,0,0,0,0,1,0,0
0.7777777777777778,0.7777777777777777,188,43.0,0.0,0,0,0,0,0,0,1,0,0
0.8055555555555555,0.8055555555555555,164,22.0,0.0,0,0,0,0,0,0,1,0,0
0.8333333333333333,0.8333333333333333,141,0.0,0.0,0,0,0,0,0,0,1,0,0
0.861111111111111,0.861111111111111,117,0.0,0.0,0,0,0,0,0,0,1,0,0
0.8888888888888888,0.8888888888888888,94,0.0,0.0,0,0,0,0,0,0,1,0,0
0.9166666666666666,0.9166666666666666,70,0.0,0.0,0,0,0,0,0,0,1,0,0
0.9444444444444445,0.9444444444444444,47,0.0,0.0,0,0,0,0,0,0,1,0,0
0.9722222222222221,0.9722222222222222,24,0.0,0.0,0,0,0,0,0,0,1,0,0
0.9999999999999999,1.0,0,0.0,0.0,0,0,0,0,0,0,1,0,0
0.0,0.0,633,486.0,243.0,0,0,0,0,0,0,0,0,1
0.027777777777777776,0.027777777777777776,615,470.0,233.0,0,0,0,0,0,0,0,0,1
0.05555555555555555,0.05555555555555555,597,453.0,223.0,0,0,0,0,0,0,0,0,1
0.08333333333333333,0.08333333333333333,580,437.0,213.0,0,0,0,0,0,0,0,0,1
0.1111111111111111,0.1111111111111111,562,421.0,202.0,0,0,0,0,0,0,0,0,1
0.1388888888888889,0.1388888888888889,545,405.0,192.0,0,0,0,0,0,0,0,0,1
0.16666666666666666,0.16666666666666666,527,389.0,182.0,0,0,0,0,0,0,0,0,1
0.19444444444444445,0.19444444444444442,510,372.0,172.0,0,0,0,0,0,0,0,0,1
0.2222222222222222,0.2222222222222222,492,356.0,162.0,0,0,0,0,0,0,0,0,1
0.24999999999999997,0.25,474,340.0,152.0,0,0,0,0,0,0,0,0,1
0.2777777777777778,0.2777777777777778,457,324.0,142.0,0,0,0,0,0,0,0,0,1
0.3055555555555555,0.3055555555555555,439,308.0,132.0,0,0,0,0,0,0,0,0,1
0.3333333333333333,0.3333333333333333,422,291.0,121.0,0,0,0,0,0,0,0,0,1
0.3611111111111111,0.3611111111111111,404,275.0,111.0,0,0,0,0,0,0,0,0,1
0.3888888888888889,0.38888888888888884,387,259.0,101.0,0,0,0,0,0,0,0,0,1
0.41666666666666663,0.41666666666666663,369,243.0,91.0,0,0,0,0,0,0,0,0,1
0.4444444444444444,0.4444444444444444,351,227.0,81.0,0,0,0,0,0,0,0,0,1
0.47222222222222227,0.4722222222222222,334,211.0,71.0,0,0,0,0,0,0,0,0,1
0.49999999999999994,0.5,316,194.0,61.0,0,0,0,0,0,0,0,0,1
0.5277777777777778,0.5277777777777778,299,178.0,51.0,0,0,0,0,0,0,0,0,1
0.5555555555555556,0.5555555555555556,281,162.0,40.0,0,0,0,0,0,0,0,0,1
0.5833333333333333,0.5833333333333333,264,146.0,30.0,0,0,0,0,0,0,0,0,1
0.611111111111111,0.611111111111111,246,130.0,20.0,0,0,0,0,0,0,0,0,1
0.6388888888888888,0.6388888888888888,228,113.0,10.0,0,0,0,0,0,0,0,0,1
0.6666666666666666,0.6666666666666666,211,97.0,0.0,0,0,0,0,0,0,0,0,1
0.6944444444444444,0.6944444444444444,193,81.0,0.0,0,0,0,0,0,0,0,0,1
0.7222222222222222,0.7222222222222222,176,65.0,0.0,0,0,0,0,0,0,0,0,1
0.75,0.75,158,49.0,0.0,0,0,0,0,0,0,0,0,1
0.7777777777777778,0.7777777777777777,141,32.0,0.0,0,0,0,0,0,0,0,0,1
0.8055555555555555,0.8055555555555555,123,16.0,0.0,0,0,0,0,0,0,0,0,1
0.8333333333333333,0.8333333333333333,105,0.0,0.0,0,0,0,0,0,0,0,0,1
0.861111111111111,0.861111111111111,88,0.0,0.0,0,0,0,0,0,0,0,0,1
0.8888888888888888,0.8888888888888888,70,0.0,0.0,0,0,0,0,0,0,0,0,1
0.9166666666666666,0.9166666666666666,53,0.0,0.0,0,0,0,0,0,0,0,0,1
0.9444444444444445,0.9444444444444444,35,0.0,0.0,0,0,0,0,0,0,0,0,1
0.9722222222222221,0.9722222222222222,18,0.0,0.0,0,0,0,0,0,0,0,0,1
0.9999999999999999,1.0,0,0.0,0.0,0,0,0,0,0,0,0,0,1
